individual,year_month,dry_wt,spp,model,lfm_NAs_imputed,RWC,max_mpa_sample,mpa,gww_gdw,gww_gdw_saturated,fresh_wt,site,sample
2021_August_CECO_1.1,2021_August,12.5213,CECO,HP,176.00124185035676,100,1,-0.27,1.7600124185035677,1.7600124185035677,13.0882,1,1.1
2021_August_PIJE_1.1,2021_August,13.8687,PIJE,HP,150.76460111772997,86.32366136458104,1,-0.62,1.5076460111772996,1.7465037827923886,16.3236,1,1.1
2021_August_QUKE_1.1,2021_August,7.9631,QUKE,HP,144.94177073102296,100,1,-0.3,1.4494177073102295,1.4494177073102295,8.9961,1,1.1
2021_August_ABCO_1.1,2021_August,13.4989,ABCO,HP,88.40811965811957,55.94759814901629,1,-3.59,0.8840811965811958,1.5801950858130633,14.6574,1,1.1
2021_August_ARPA_1.1,2021_August,14.3239,ARPA,HP,89.14839603046383,62.344120854978534,1,-3.96,0.8914839603046383,1.429940703435949,16.2553,1,1.1
2021_August_CADE_1.1,2021_August,14.3077,CADE,HP,55.67990052402519,48.277396631403406,1,-6.02,0.5567990052402519,1.1533327065902022,15.5615,1,1.1
2021_August_CECO_1.1,2021_August,6.4786,CECO,HP,56.23048538177686,31.94891399095141,1,-5.85,0.5623048538177686,1.7600124185035677,6.6767,1,1.1
2021_August_PIJE_1.1,2021_August,15.9035,PIJE,HP,90.65215115670473,51.90492688871593,1,-3.61,0.9065215115670473,1.7465037827923886,19.3675,1,1.1
2021_August_QUKE_1.1,2021_August,14.0148,QUKE,HP,13.5032478256083,9.316325968355306,1,-10,0.135032478256083,1.4494177073102295,14.2601,1,1.1
2021_August_ABCO_1.1,2021_August,14.8906,ABCO,HP,111.66157715106888,70.6631593488441,1,-3.35,1.1166157715106888,1.5801950858130633,17.9987,1,1.1
2021_August_ARPA_1.1,2021_August,6.685,ARPA,HP,98.55302279484658,68.92105564799809,1,-3.61,0.9855302279484658,1.429940703435949,7.1822,1,1.1
